
 - final statistics:
2 variables; iteration 0; function evaluation 0
Function value 1.8041e+04; maximum gradient component mag -1.4896e-01
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.18710 -1.48961e-01 |  2  0.02667  1.46809e-01 |

 - final statistics:
121 variables; iteration 0; function evaluation 0
Function value 1.8041e+04; maximum gradient component mag 3.0832e-01
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 67 -0.45422  2.00562e-03 | 68 -0.28381 -2.89065e-05 | 69  0.07674  4.90750e-04
 70 -0.62465 -6.67247e-01 | 71  0.00088 -2.99961e-04 | 72 -0.09804 -2.36806e-04
 73 -0.00022  1.43514e-03 | 74  0.01707  4.18827e-03 | 75  0.00552  2.31297e-03
 76  0.00265  2.48465e-03 | 77  0.00185  8.56218e-03 | 78  0.00959  2.41370e-03
 79  0.00920  1.75583e-03 | 80  0.00457  1.40981e-03 | 81  0.01311  9.10722e-03
 82 -0.01370  2.36701e-03 | 83  0.01516  1.48988e-03 | 84  0.00971  6.62140e-03
 85  0.02609  5.54646e-03 | 86  0.00059  9.13227e-04 | 87  0.02219  2.85472e-03
 88 -0.02176  1.11873e-03 | 89 -0.02694  9.45615e-04 | 90 -0.02252  2.31218e-03
 91 -0.03463  6.85144e-03 | 92 -0.03854  2.48413e-03 | 93  0.01196  1.02487e-02
 94 -0.03877  7.45575e-04 | 95 -0.01127  4.28940e-03 | 96  0.00507  5.87996e-03
 97 -0.02699  2.04552e-03 | 98  0.04538  7.79411e-03 | 99  0.03371  3.33446e-04
100  0.04885  1.21742e-03 |101  0.05361  2.32628e-05 |102  0.03887  3.52283e-05
103  0.05158  1.66914e-03 |104  0.02302 -5.05483e-05 |105  0.09851  4.10592e-04
106  0.00791  1.11912e-02 |107 -0.00714  1.50261e-02 |108 -0.01307  1.42794e-02
109  0.02797  1.89122e-02 |110  0.01086  2.79023e-02 |111  0.00516  2.19282e-02
112  0.00505  1.99841e-02 |113  0.00314  1.72518e-02 |114 -0.00614  2.56371e-02
115 -0.00097  2.22302e-02 |116 -0.00751  1.92924e-02 |117  0.01089  2.80419e-02
118 -0.00950  2.66648e-02 |119  0.01220  2.34456e-02 |120 -0.00176  2.23484e-02
121 -0.01623  1.75528e-02 |122  0.01859  1.82650e-02 |123 -0.01368  1.55794e-02
124  0.01174  2.78037e-02 |125  0.02163  2.45720e-02 |126 -0.00526  3.17924e-02
127 -0.00069  2.29546e-02 |128  0.01784  2.72029e-02 |129 -0.01485  2.36627e-02
130  0.02550  2.14465e-02 |131  0.00041  2.45862e-02 |132  0.00926  1.66022e-02
133 -0.01830  1.12492e-02 |134  0.01234  7.91833e-03 |135  0.00677  3.47650e-03
136 -0.02834  3.46874e-03 |137  0.03000  2.73414e-03 |138 -0.00566  5.38551e-04

 - final statistics:
151 variables; iteration 0; function evaluation 0
Function value 1.8041e+04; maximum gradient component mag -6.6725e-01
Exit code = 0;  converg criter 1.0000e+00
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.18710 -1.48961e-01 |  2 -0.07152  1.69525e-02 |  3  0.07957  9.43850e-02
  4 -0.47869  3.08325e-01 |  5 -0.58365  2.51170e-01 |  6 -0.23334  2.26599e-03
  7 -0.15192  5.59733e-03 |  8  0.02618 -3.53653e-02 |  9  0.07726 -5.05016e-03
 10  0.02667  1.46809e-01 | 11 -0.08954 -7.25556e-05 | 12 -0.23165  1.12027e-04
 13 -0.23679 -8.38889e-05 | 14 -0.24304 -6.94614e-05 | 15 -0.25002  3.22219e-05
 16 -0.25759  1.70837e-04 | 17 -0.26496  2.57300e-04 | 18 -0.27048  1.73446e-05
 19 -0.26595  4.91387e-05 | 20 -0.24029  1.54496e-04 | 21 -0.16046  3.00495e-04
 22 -0.13485  4.38037e-04 | 23 -0.17257  1.22336e-04 | 24 -0.02128  1.82724e-03
 25  0.08312  4.33817e-03 | 26  0.05177  2.94851e-03 | 27  0.04404  3.76372e-03
 28 -0.06826  1.34042e-03 | 29 -0.11897  1.97448e-03 | 30  0.08707  1.07462e-02
 31 -0.08743  3.15243e-03 | 32  0.07885  1.11269e-02 | 33 -0.02948  4.90591e-03
 34 -0.09485  2.64859e-03 | 35 -0.17628  2.29602e-03 | 36 -0.08567  5.06055e-03
 37  0.02092  1.15031e-02 | 38 -0.00493  8.21862e-03 | 39 -0.00762  8.44381e-03
 40  0.08505  1.74123e-02 | 41 -0.02934  5.08570e-03 | 42 -0.05882  4.67221e-03
 43 -0.06710  5.37391e-03 | 44  0.05884  1.42586e-02 | 45 -0.03884  5.62277e-03
 46 -0.07673  4.57577e-03 | 47  0.03448  1.19338e-02 | 48  0.02301  8.96109e-03
 49 -0.10160  3.86160e-03 | 50 -0.02925  6.82203e-03 | 51 -0.07454  4.77392e-03
 52 -0.10377  3.63074e-03 | 53 -0.04301  6.89281e-03 | 54  0.05531  1.18424e-02
 55 -0.02287  5.83945e-03 | 56  0.09820  1.24089e-02 | 57 -0.08378  2.25256e-03
 58  0.05704  5.46281e-03 | 59  0.10065  4.35447e-03 | 60  0.00110  1.77859e-03
 61  0.10500  1.57861e-03 | 62 -0.08247  3.98164e-04 | 63 -0.05377  2.82714e-04
 64 -0.12441  4.81589e-04 | 65 -0.10044  1.12485e-03 | 66  0.09964  2.53339e-03
 67 -0.16630 -3.17831e-05 | 68 -0.02761  9.62090e-04 | 69  0.00565  2.47103e-02
 70  0.09019 -1.55028e-04 | 71  0.09812 -6.08619e-02 | 72 -0.00761 -4.96129e-05
 73 -0.08729  3.46201e-02 | 74 -0.13910  1.45855e-03 | 75  0.02040 -4.22670e-02
 76 -0.02082  5.80805e-04 | 77  0.04561  3.94350e-03 | 78 -0.20380 -1.49568e-01
 79 -0.03372 -2.13958e-04 | 80 -0.45422  2.00562e-03 | 81 -0.28381 -2.89065e-05
 82  0.07674  4.90748e-04 | 83 -0.62465 -6.67247e-01 | 84  0.00088 -2.99961e-04
 85 -0.09804 -2.36806e-04 | 86 -0.00022  1.43513e-03 | 87  0.01707  4.18821e-03
 88  0.00552  2.31297e-03 | 89  0.00265  2.48462e-03 | 90  0.00185  8.56213e-03
 91  0.00959  2.41372e-03 | 92  0.00920  1.75584e-03 | 93  0.00457  1.40978e-03
 94  0.01311  9.10719e-03 | 95 -0.01370  2.36701e-03 | 96  0.01516  1.48987e-03
 97  0.00971  6.62138e-03 | 98  0.02609  5.54644e-03 | 99  0.00059  9.13235e-04
100  0.02219  2.85468e-03 |101 -0.02176  1.11873e-03 |102 -0.02694  9.45575e-04
103 -0.02252  2.31221e-03 |104 -0.03463  6.85145e-03 |105 -0.03854  2.48413e-03
